#Pos	Phred	prob	A->C	A->G	A->T	A->N	C->A	C->G	C->T	C->N	G->A	G->C	G->T	G->N	T->A	T->C	T->G	T->N
15	7	0.03558235606438618	4556	4526	3938	0	3727	4596	4063	0	3573	4258	4115	0	3559	4228	4985	0
15	A	0.07653370499847953	5642	6355	5560	0	4670	6742	5694	0	4868	5976	5737	0	5013	5928	6171	0
15	F	0.12126197559066627	6713	7750	7357	0	6288	8270	7570	0	6407	7483	7514	0	6369	7131	7654	0
15	,	0.06721492444481625	22691	20557	17541	0	17495	18119	17163	0	16537	17610	18578	0	16239	18901	23606	0
15	<	0.04431237752331992	4787	5051	4039	0	3567	5095	4231	0	3684	4892	4134	0	3588	4768	4851	0
15	(	0.009278196281810674	7379	8040	806	0	1170	7318	1180	0	1419	6336	1274	0	756	5909	8684	0
15	#	1.694201914601312e-05	0	0	0	51	0	0	0	39	0	0	0	40	0	0	0	47
16	K	0.6495892732140777	47849	50449	45496	0	45862	52611	44824	0	46285	49807	43078	0	46501	48028	48725	0
16	F	0.12096408058643612	6912	7707	7284	0	6478	8189	7259	0	6724	7113	7596	0	6528	7129	7689	0
16	A	0.07494499122185583	5820	6469	5499	0	4691	6704	5595	0	4919	5729	5400	0	4900	5868	6185	0
16	,	0.06658036412283792	23172	20583	17824	0	17895	18004	16940	0	17005	17658	18544	0	16319	18517	23309	0
16	<	0.04332835677027471	4883	4904	4196	0	3618	5067	4112	0	3837	4802	4064	0	3682	4773	4892	0
16	(	0.00924430808591468	7487	8241	826	0	1209	7222	1176	0	1340	6631	1170	0	823	5743	8368	0
16	7	0.035321823966358086	4779	4589	3829	0	3806	4685	4071	0	3880	4193	3966	0	3789	4107	4970	0
16	#	2.6802032244950666e-05	0	0	0	75	0	0	0	59	0	0	0	74	0	0	0	72
17	K	0.6523053509621133	45294	50704	45589	0	45025	53259	45147	0	45451	49758	43818	0	45565	47448	50130	0
17	,	0.06529347587912958	22367	20241	17531	0	17682	17955	17362	0	16743	17516	18756	0	15944	18390	23612	0
17	A	0.07487033480763143	5812	6384	5518	0	4799	6803	5905	0	5029	5955	5671	0	4867	5807	6469	0
17	<	0.042434819434620415	4698	4908	4099	0	3437	5190	4243	0	3702	4698	4293	0	3547	4727	5150	0
17	F	0.12096175047937902	6903	7580	7620	0	6504	7996	7897	0	6843	7425	7864	0	6524	7157	7597	0
17	(	0.009137757223184762	7213	8122	833	0	1278	7192	1187	0	1284	6318	1236	0	750	5642	8523	0
17	7	0.03496281515981646	4653	4591	4009	0	3745	4534	4117	0	3873	4299	4265	0	3631	4199	5200	0
17	#	3.369605412505276e-05	0	0	0	108	0	0	0	83	0	0	0	86	0	0	0	75
18	K	0.6567770366943948	46470	50571	46201	0	46080	52567	45619	0	45754	49839	43187	0	46505	47160	49329	0
18	F	0.12094101797464582	6946	7734	7579	0	6420	8319	7991	0	6801	7405	7880	0	6429	7388	7705	0
18	,	0.06360386657359815	21880	19918	17344	0	17144	17709	16900	0	16610	17441	18349	0	15837	17840	22553	0
18	<	0.04167390474374719	4948	4965	4028	0	3535	5099	4164	0	3647	4740	4305	0	3548	4741	4993	0
18	7	0.03431494579410056	4639	4614	4040	0	3842	4716	4302	0	3811	4261	4279	0	3671	4067	5087	0
18	(	0.008928126205648293	7208	7850	758	0	1204	7048	1172	0	1318	6188	1294	0	787	5449	8190	0
18	A	0.07374291709293557	6035	6392	5743	0	4897	6768	5882	0	4883	5935	5663	0	4837	5796	6336	0
18	#	1.8184920929571047e-05	0	0	0	50	0	0	0	46	0	0	0	51	0	0	0	43
